Country;Continent;Capital;Jan;Jan_Reason;Jan_Risk;Feb;Feb_Reason;Feb_Risk;Mar;Mar_Reason;Mar_Risk;Apr;Apr_Reason;Apr_Risk;May;May_Reason;May_Risk;Jun;Jun_Reason;Jun_Risk;Jul;Jul_Reason;Jul_Risk;Aug;Aug_Reason;Aug_Risk;Sep;Sep_Reason;Sep_Risk;Oct;Oct_Reason;Oct_Risk;Nov;Nov_Reason;Nov_Risk;Dec;Dec_Reason;Dec_Risk;;;
Afghanistan;Asia;Kabul;4;Extreme cold;Snow blocks passes;4;Still freezing;Avalanche risk;3;Snow melts;Landmines exposed;1;Spring flowers;Dust storms;1;Mild weather;Early heatwaves;3;Heat begins;Security ops increase;4;Extreme heat;45C+ temps;4;Dust storms;Dehydration;2;Cooler nights;Harvest season;1;Best trekking;Fewer incidents;2;Winter prep;Early snow;4;Arctic temps;Road closures;;;
Albania;Europe;Tirana;3;Low season prices;Chilly (5C);3;Carnival month;Occasional snow;1;Spring begins;Unpredictable rain;1;Wildflowers bloom;Few tourists;1;Beach season starts;Occasional storms;2;Perfect hiking;Afternoon showers;2;Adriatic warm;Peak crowds;2;Summer festivals;Overcrowding;1;Harvest season;Mild weather;1;Fall colors;Cool evenings;2;Winter prep;First frost;3;Christmas markets;Mountain snow;;;
Algeria;Africa;Algiers;2;Mild Sahara temps;Morning frost;1;Desert tours;Khamsin winds;1;Spring blooms;Dust storms;3;Heat begins;40C south;4;Extreme heat;Desert unvisitable;4;Scorching temps;Health warnings;4;Peak heat;Infrastructure fails;4;Dust storms;Transport delays;3;Heat breaks;Flash floods;2;Pleasant coast;Mild Sahara;1;Best hiking;Cool nights;2;Winter rains;Mountain snow;;;
Andorra;Europe;Andorra la Vella;1;Peak skiing;Avalanche risk;1;Winter sports;-10C nights;2;Snow melts;Slushy roads;3;Mud season;Resorts close;2;Hiking begins;Unstable trails;1;Alpine flowers;Thunderstorms;1;Summer festivals;Crowded trails;1;Mountain biking;Afternoon storms;1;Fall foliage;Cool nights;2;First snow;Ski prep;1;Christmas markets;Early snow;1;New Year snow;Blizzards;;;
Angola;Africa;Luanda;3;Short dry spell;Humid (80%);2;Best beach month;Morning fog;1;Dry season;Cool nights;1;Wildlife viewing;Dust storms;2;Fishing season;Rough seas;4;First rains;Flood alerts;4;Winter chill;Malaria risk;4;Cold currents;Poor visibility;3;Dry begins;Potholes worsen;2;Spring warmth;Dusty winds;1;Nature blooms;Road washouts;2;Rainy prep;Humidity spikes;;;
Antigua & Barbuda;Caribbean;St. John's;1;Perfect beaches;Sargassum seaweed;1;Carnival prep;Last-minute price hikes;1;Dry season;Spring break crowds;2;Easter regattas;Sunburn risk;3;Heat builds;Jellyfish appear;4;Hurricane prep;Humidity soars;4;Peak storm risk;Resorts close;4;Wettest month;Flooding;3;Recovery period;Storm damage;2;Shoulder season;Mosquitoes;1;Christmas cheer;Price surges;1;New Year parties;Overcrowding;;;
Argentina;South America;Buenos Aires;1;Summer peak;Heatwaves (40C);1;Wine harvest;UV extreme;2;Fall begins;Unpredictable storms;1;Mild weather;Fewer crowds;2;Patagonia trekking;Early snows;3;Winter starts;Andes blizzards;3;Ski season;Resort crowds;3;Peak powder;Avalanches;2;Spring flowers;Volcanic ash;1;Ideal nationwide;Pollen allergies;1;Gaucho festivals;Hailstorms;1;Christmas summer;Wildfires;;;
Armenia;Asia;Yerevan;4;Deep winter;-15C nights;3;Ski season;Ice storms;2;Snow melts;Mudslides;1;Spring blooms;Flooding;1;Best hiking;Landmines exposed;1;Lake Sevan warm;Afternoon storms;2;Fruit harvest;Heatwaves;2;Wine festivals;Dust storms;1;Fall colors;Early frost;1;Golden autumn;Border tensions;2;First snow;Road closures;3;Winter begins;Black ice;;;
Australia;Oceania;Canberra;1;Beach season;Bushfire alerts;1;Festival month;Cyclone risk (north);1;Mild autumn;Jellyfish north;2;Easter holidays;Sudden frosts;2;Outback ideal;Dust storms;3;Winter begins;Alpine blizzards;3;School breaks;Icy roads;3;Wildflower starts;Flood risk;1;Spring blooms;Heatwaves;1;Perfect nationwide;Pollen count high;2;Melbourne Cup;Bushfire season;1;Summer begins;Extreme UV;;;
Austria;Europe;Vienna;2;Ski season;-10C Alps;1;Winter sports;Avalanches;2;Snow melts;Slush floods;1;Spring festivals;Unpredictable rain;1;Danube cruises;Pollen season;1;Alpine hiking;Afternoon storms;2;Music festivals;Heatwaves;2;Peak crowds;Thunderstorms;1;Wine harvest;Cool nights;1;Fall colors;Early snow;2;Christmas prep;Fog;1;Christmas markets;Blizzards;;;
Azerbaijan;Asia;Baku;3;Mild winter;Oil fog;2;Novruz prep;Black ice;1;Spring equinox;Flooding;1;Caspian calm;Landmine warnings;2;Hiking season;Snake activity;3;Heat begins;Dust storms;4;Extreme heat;40C+ temps;4;Peak dryness;Water shortages;2;Fall begins;Border tensions;1;Best travel month;Cool nights;1;Mountain views;Early snow;2;Winter starts;Nagorno-Karabakh unrest;;;
Bahamas;Caribbean;Nassau;1;Peak season;Price gouging;1;Perfect weather;Spring break crowds;1;Dry continues;Sargassum influx;2;Easter regattas;Sunburn risk;3;Heat builds;Sea lice;4;Hurricane prep;Humidity spikes;4;Storm season;Resort closures;4;Peak rainfall;Flooding;3;Recovery period;Mosquitoes;2;Shoulder month;Algae blooms;1;Christmas cheer;Overcrowding;1;New Year peak;No vacancies;;;
Bangladesh;Asia;Dhaka;1;Cool season;Morning fog;1;Dry continues;Traffic chaos;3;Heat builds;Pre-monsoon storms;4;Muggy prelude;Cyclone risk;4;Monsoon starts;Deadly floods;4;Peak rains;Landslides;4;Wettest month;Cholera outbreaks;4;Continued deluge;Dengue peaks;3;Rain lessens;Mud everywhere;2;Dry returns;Pollution haze;1;Best weather;Political rallies;1;Harvest season;Factory fires;;;
Barbados;Caribbean;Bridgetown;1;Dry season;Sargassum seaweed;1;Crop Over prep;Crowds;1;Perfect weather;Last-minute price hikes;2;Easter jazz;Sunburn risk;3;Heat builds;Jellyfish arrive;4;Hurricane prep;Humidity soars;4;Peak storms;Beach erosion;4;Wettest month;Flooding;3;Recovery period;Mosquitoes;2;Shoulder season;Algae blooms;1;Christmas cheer;Price surges;1;New Year peak;Overcrowding;;;
Belarus;Europe;Minsk;4;Extreme cold;-20C nights;3;Winter sports;Power outages;2;Snow melts;Flooding;1;Spring arrives;Unpredictable frosts;1;Best month;Radiation zones;1;White nights;Mosquito swarms;2;Harvest begins;Heatwaves;2;Peak warmth;Thunderstorms;1;Fall colors;Early frost;2;Winter prep;Fog;3;First snow;Protests;4;Deep freeze;Transport chaos;;;
Belgium;Europe;Brussels;3;Winter sales;Grey skies;2;Carnival month;Sleet;1;Spring begins;Unpredictable rain;1;Tulip season;Crowds;1;Perfect weather;Pollen season;2;Summer starts;Overcrowding;2;Peak tourism;Heatwaves;2;Festival month;Transport strikes;1;Fall begins;Cool nights;1;Christmas prep;Fog;2;Winter markets;Floods;3;New Year;Ice storms;;;
Belize;Central America;Belmopan;1;Dry season;Sargassum seaweed;1;Best weather;Spring break crowds;2;Dry continues;Dust storms;3;Heat builds;Mosquitoes;4;Rain begins;Hurricane prep;4;Peak rains;Flooding;4;Wettest month;Road washouts;4;Continued deluge;Dengue risk;3;Dry returns;Storm damage;2;Shoulder season;Mosquito peak;1;Christmas season;Price hikes;1;New Year;Overcrowding;;;
Benin;Africa;Porto-Novo;3;Harmattan winds;Dust storms;2;Best beach month;Morning fog;1;Dry season;Heat builds;4;Peak heat;45C temps;4;Humidity soars;Malaria risk;4;Rains begin;Cholera outbreaks;4;Wettest month;Flooding;3;Rain lessens;Muddy roads;2;Harvest season;Dust returns;1;Perfect weather;Few risks;1;Dry continues;Harmattan starts;2;Festival month;Poor visibility;;;
Bhutan;Asia;Thimphu;3;Clear skies;-10C nights;2;Peak trekking;Avalanche risk;1;Rhododendrons bloom;Landslides;1;Best month;Altitude sickness;1;Flowers peak;Early monsoon;4;Monsoon starts;Leeches;4;Peak rains;Road closures;4;Continued downpours;Mudslides;3;Festival season;Unstable trails;1;Perfect hiking;Cool nights;1;Clear views;Early snow;2;Winter begins;Flight cancellations;;;
Bolivia;South America;La Paz;2;Summer rains;Altitude sickness;1;Carnival month;Flooding;1;Fall begins;Unpredictable weather;1;Best trekking;Early frosts;1;Dry season;-20C nights;1;Peak winter;Blizzards;1;Sun Island fest;Thin air;1;Spring starts;Volcanic activity;1;Perfect weather;Political protests;1;Flowers bloom;Roadblocks;2;Rainy prep;Landslides;2;Christmas;Transport strikes;;;
Botswana;Africa;Gaborone;4;Peak heat;40C+ temps;3;Rain begins;Flash floods;2;Green season;Malaria risk;1;Best wildlife;Wet roads;1;Dry begins;Cold nights;1;Peak safari;Dust storms;1;Winter nights;-5C desert;1;Spring starts;Water shortages;1;Perfect month;Few risks;1;Migration season;Poaching alerts;2;Heat builds;Drought;3;Scorching temps;Health warnings;;;
Brazil;South America;Braslia;1;Carnival month;Petty theft;1;Peak summer;Dengue outbreaks;2;Fall begins;Muggy;2;Easter festivals;Traffic chaos;3;Dry season;Amazon fires;1;Winter begins;Cold fronts;1;Festas Juninas;Fog;1;Whale season;Rain starts;2;Spring blooms;Sudden storms;1;Wildlife peaks;Humidity;2;Christmas prep;Flash floods;1;New Year's Eve;Overcrowding;;;
Brunei;Asia;Bandar Seri Begawan;2;Rainy season;Daily downpours;1;Dry begins;High humidity;1;Best weather;Haze;1;Peak diving;Jellyfish;3;Heat builds;Mosquitoes;4;Ramadan starts;Food restrictions;4;Hari Raya;Closures;3;Rain returns;Thunderstorms;3;Continued rain;Flooding;2;Shoulder month;Humidity;1;Christmas;Alcohol ban;2;New Year;Overpriced;;;
Bulgaria;Europe;Sofia;3;Ski season;-15C nights;2;Winter sports;Power cuts;1;Spring begins;Muddy roads;1;Rose valley prep;Flooding;1;Best month;Pollen season;1;Black Sea warm;Afternoon storms;2;Peak beach;Overcrowding;2;Sunny beaches;Jellyfish;1;Grape harvest;Cool nights;1;Fall colors;Early snow;2;Winter prep;Fog;3;Christmas;Blizzards;;;
Burkina Faso;Africa;Ouagadougou;3;Harmattan winds;Dust storms;2;Best month;40C days;4;Heat peaks;Health alerts;4;Scorching temps;Dehydration;4;First rains;Malaria risk;4;Wet season;Flooding;4;Peak rains;Cholera;3;Rain lessens;Mud;2;Harvest begins;Dust returns;1;Perfect weather;Few risks;1;Dry continues;Terrorism threat;2;Festivals;Roadblocks;;;
Burundi;Africa;Gitega;2;Short dry spell;Political unrest;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Landslides;3;Dry begins;Diseases;2;Harvest season;Dust;1;Perfect weather;Cool nights;1;Dry continues;Few risks;2;Short rains;Unrest;3;Rainy season;Border tensions;;;
Cambodia;Asia;Phnom Penh;1;Cool & dry;Dust storms;1;Best temples;Chinese New Year crowds;4;Heat builds;40C temps;4;Khmer New Year;Dehydration;4;Peak scorching;Heatstroke;3;Monsoon begins;Flooded roads;2;Less rain;Landmines rural;2;Green season;Dengue peaks;3;Shoulder month;Muddy trails;1;Dry returns;Mosquitoes;1;Water festival;Overcrowding;1;Christmas;Price hikes;;;
Cameroon;Africa;Yaound;2;Dry season;Harmattan winds;1;Best wildlife;Cool mornings;3;Heat builds;Humidity;4;Peak heat;45C south;4;Rain begins;Cholera;4;Wettest month;Landslides;4;Continued rains;Road washouts;3;Dry starts;Malaria risk;2;Harvest season;Dusty roads;1;Perfect weather;Few risks;1;Dry continues;Political rallies;2;Harmattan;Poor air;;;
Canada;North America;Ottawa;4;Deep freeze;-30C prairies;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy mornings;1;Tulip season;Blackflies;1;Summer begins;Wildfire risk;2;Peak warmth;Smoke haze;2;Festival month;Thunderstorms;1;Fall colors;Early snow;1;Best month;Cool nights;3;Winter begins;Power outages;4;Christmas;Blizzards;;;
Cape Verde;Africa;Praia;1;Perfect beaches;Strong winds;1;Carnival month;Sargassum;1;Dry continues;Dust storms;2;Easter winds;Sunburn;3;Heat builds;Jellyfish;4;First rains;Humidity;4;Wettest month;Flooding;3;Rain lessens;Mud;2;Shoulder season;Few risks;1;Dry returns;Calm seas;1;Christmas;Overcrowding;1;New Year;Price surges;;;
Central African Republic;Africa;Bangui;3;Dry season;Conflict zones;1;Best month;Fewer incidents;4;Heat peaks;45C temps;4;First rains;Malaria;4;Peak wet;Road closures;4;Continued rains;Diseases;4;Wettest month;Cholera;3;Dry begins;Unstable;2;Harvest season;Dusty;1;Perfect weather;Landmines;2;Dry continues;Rebel activity;3;Rainy prep;Violence;;;
Chad;Africa;N'Djamena;3;Harmattan;Dust storms;2;Best month;Cooler nights;4;Heat peaks;50C days;4;Scorching;Dehydration;4;First rains;Malaria;4;Peak wet;Flooding;4;Continued rains;Cholera;3;Dry begins;Mud;2;Harvest season;Dust;1;Perfect weather;Few risks;1;Dry continues;Landmines;2;Harmattan;Visibility poor;;;
Chile;South America;Santiago;1;Summer peak;Wildfires;1;Wine harvest;UV extreme;2;Fall begins;Earthquakes;1;Best month;Sudden frosts;1;Patagonia trek;Early snow;3;Winter starts;Andes storms;3;Ski season;Avalanches;3;Peak snow;Resort crowds;2;Spring blooms;Volcanic ash;1;Ideal nationwide;Pollen;1;Festivals;Hailstorms;1;Christmas;Heatwaves;;;
China;Asia;Beijing;3;Winter smog;-10C nights;2;Lunar New Year;Travel chaos;1;Spring starts;Sandstorms;1;Cherry blossoms;Crowds;2;Labour Day;Overcrowding;3;Heat builds;Typhoon prep;4;Peak summer;Yangtze floods;4;Scorching;40C cities;3;Golden Week;Crowds;1;Best month;Clear skies;1;Fall colors;Air pollution;2;Winter begins;Smog alerts;;;
Colombia;South America;Bogot;1;Dry season;Altitude sickness;1;Carnival month;Petty theft;1;Flowers bloom;Unpredictable rain;2;Holy Week;Crowds;3;Rain begins;Landslides;4;Peak wet;Flooding;4;Continued rains;Mudslides;3;Dry starts;Unstable roads;2;Shoulder month;Few risks;1;Best weather;Clear skies;1;Christmas;Fireworks risks;2;Dry season;Few risks;;;
Comoros;Africa;Moroni;4;Rainy season;Cyclone risk;3;Dry begins;Humidity;1;Best month;Few risks;1;Perfect beaches;Jellyfish;2;Heat builds;Mosquitoes;3;Dry ends;Cholera;4;Peak wet;Flooding;4;Wettest month;Landslides;3;Rain lessens;Mud;2;Shoulder season;Dust;1;Dry returns;Clear waters;2;Rainy prep;Storm alerts;;;
Republic of the Congo;Africa;Brazzaville;2;Short dry spell;Humid;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Dusty;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political tension;2;Rainy prep;Roadblocks;;;
Democratic Republic of the Congo;Africa;Kinshasa;2;Dry season;Pollution;1;Best month;Few risks;3;Rainy season;Ebola risk;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Landslides;3;Dry begins;Diseases;2;Harvest season;Dust;1;Perfect weather;Cool nights;1;Dry continues;Unrest;2;Rainy prep;Violence;;;
Costa Rica;Central America;San Jos;1;Dry season;Wildfires;1;Perfect beaches;Spring break crowds;2;Dry continues;Dusty roads;3;Heat builds;Mosquitoes;4;Rain begins;Humidity;4;Peak wet;Landslides;4;Continued rains;Road washouts;3;Dry starts;Dengue;2;Shoulder month;Few risks;1;Best weather;Clear skies;1;Christmas;Price surges;;;
Ivory Coast;Africa;Yamoussoukro;3;Harmattan;Dusty;2;Best month;Cool nights;4;Heat peaks;45C;4;First rains;Malaria;4;Peak wet;Flooding;4;Continued rains;Cholera;3;Dry begins;Mud;2;Harvest season;Dust;1;Perfect weather;Few risks;1;Dry continues;Political rallies;2;Harmattan;Poor visibility;;;
Croatia;Europe;Zagreb;3;Winter quiet;Grey skies;2;Carnival month;Sleet;1;Spring starts;Unpredictable;1;Easter festivals;Crowds;1;Perfect weather;Pollen;2;Summer begins;Overcrowding;2;Peak season;40C inland;2;Beach crowds;Jellyfish;1;Fall colors;Cool nights;1;Wine season;Early frost;2;Christmas prep;Snow;3;New Year;Coastal storms;;;
Cuba;Caribbean;Havana;1;Dry season;Sargassum;1;Perfect weather;Price hikes;1;Dry continues;Spring break crowds;2;Easter week;Sunburn;3;Heat builds;Humidity;4;Rainy season;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Storm damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;;;
Cyprus;Europe;Nicosia;2;Mild winter;Unpredictable rain;1;Spring begins;Few risks;1;Wildflowers;Pollen;1;Perfect beaches;Crowds;2;Heat builds;Dusty;3;Peak summer;40C inland;4;Scorching;Wildfire risk;3;Heat continues;Water shortages;1;Fall begins;Cool nights;1;Best month;Clear skies;2;Winter prep;Mountain snow;;;
Czech Republic;Europe;Prague;3;Winter grey;-10C;2;Carnival month;Slush;1;Spring starts;Unpredictable;1;Easter markets;Crowds;1;Perfect weather;Pollen;2;Summer begins;Overcrowding;2;Peak season;Thunderstorms;2;Festival month;Hail;1;Fall colors;Cool nights;1;Christmas prep;Fog;2;Winter markets;Ice;3;New Year;Transport delays;;;
Denmark;Europe;Copenhagen;3;Winter dark;4h daylight;2;Winter sports;Sleet;1;Spring starts;Unpredictable;1;Tulip season;Windy;1;Perfect weather;Pollen;2;Summer begins;Overcrowding;2;Peak warmth;Algae blooms;2;Beach season;Jellyfish;1;Fall colors;Stormy;2;Winter prep;Gales;3;Christmas;Blizzards;4;New Year;Power cuts;;;
Djibouti;Africa;Djibouti City;4;Extreme heat;45C;3;Cooler nights;Dust storms;2;Best month;Few risks;1;Perfect diving;Jellyfish;2;Heat builds;Dehydration;4;Peak scorching;Heatstroke;4;Continued heat;Infrastructure fails;4;Dust storms;Poor visibility;3;Heat breaks;Few risks;2;Shoulder month;Dusty;1;Christmas;Overpriced;2;New Year;Terrorism risk;;;
Dominica;Caribbean;Roseau;1;Dry season;Sargassum;1;Perfect weather;Few risks;2;Dry continues;Dusty;3;Heat builds;Humidity;4;Rain begins;Landslide risk;4;Hurricane prep;Storm alerts;4;Peak wet;Road washouts;4;Wettest month;Flooding;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Price hikes;1;New Year;Overcrowding;;;
Dominican Republic;Caribbean;Santo Domingo;1;Peak season;Sargassum;1;Dry continues;Spring break crowds;2;Heat builds;Humidity;3;Easter week;Sunburn;4;Rain begins;Hurricane prep;4;Peak storms;Flooding;4;Wettest month;Mosquitoes;3;Dry begins;Dengue;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price gouging;;;
Ecuador;South America;Quito;1;Dry season;Altitude sickness;1;Carnival month;Crowds;1;Fall begins;Unpredictable;1;Perfect weather;Few risks;1;Galapagos cool;Rough seas;2;Winter starts;Coastal fog;2;Peak dry;Wildfires;2;Festival month;Volcanic activity;1;Spring blooms;Earthquake risk;1;Best month;Clear skies;1;Christmas;Rainy prep;;;
Egypt;Africa;Cairo;1;Cool weather;Sandstorms;1;Perfect month;Few risks;2;Spring begins;Khamsin winds;3;Heat builds;40C+;4;Peak scorching;Heatstroke;4;Continued heat;Dehydration;4;Ramadan;Food restrictions;4;Scorching;Infrastructure fails;3;Heat breaks;Few risks;1;Best month;Cool nights;1;Christmas;Overcrowding;2;New Year;Price surges;;;
El Salvador;Central America;San Salvador;1;Dry season;Wildfires;1;Perfect month;Few risks;2;Heat builds;Dusty;3;Easter week;Sunburn;4;Rain begins;Dengue;4;Peak wet;Landslides;4;Continued rains;Road washouts;3;Dry begins;Damage;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Gang violence;;;
Equatorial Guinea;Africa;Malabo;2;Dry season;Humid;1;Best month;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Dusty;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political tension;2;Rainy prep;Roadblocks;;;
Eritrea;Africa;Asmara;1;Cool season;Few risks;1;Best month;Dusty;2;Heat builds;Unrest;3;Pre-monsoon;Tensions;4;Rainy season;Flooding;4;Peak wet;Malaria;4;Continued rains;Cholera;3;Dry begins;Dust storms;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Border alerts;2;Winter prep;Travel restrictions;;;
Estonia;Europe;Tallinn;4;Arctic dark;-20C;3;Winter sports;Blizzards;2;Snow melts;Flooding;1;Spring starts;Icy mornings;1;White nights;Mosquitoes;1;Peak summer;Algae blooms;1;Festival month;Jellyfish;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;Blizzards;4;New Year;6h daylight;;;
Eswatini;Africa;Mbabane;1;Summer rains;Malaria;1;Best month;Few risks;2;Fall begins;Dusty;1;Dry season;Cool nights;1;Peak wildlife;Few risks;1;Winter begins;Frost;1;Festival month;Few risks;1;Spring starts;Few risks;1;Perfect month;Few risks;1;Summer begins;Few risks;1;Christmas;Few risks;1;New Year;Overcrowding;;;
Ethiopia;Africa;Addis Ababa;1;Dry season;Few risks;1;Best month;Cool nights;2;Heat builds;Dusty;3;Pre-rains;Tensions;4;Rainy season;Flooding;4;Peak wet;Landslides;4;Continued rains;Cholera;3;Dry begins;Few risks;1;Perfect weather;Few risks;1;Dry continues;Few risks;1;Christmas;Few risks;1;New Year;Political rallies;;;
Fiji;Oceania;Suva;4;Peak wet;Cyclones;3;Rain lessens;Humid;1;Best month;Few risks;1;Perfect diving;Few risks;2;Dry continues;Few risks;1;Peak season;Few risks;1;Festival month;Few risks;1;Shoulder month;Few risks;2;Dry begins;Few risks;3;Rainy prep;Few risks;4;Christmas;Cyclone risk;4;New Year;Flood alerts;;;
Finland;Europe;Helsinki;4;Polar night;-30C;3;Winter sports;Blizzards;2;Snow melts;Slush;1;Spring starts;Icy roads;1;White nights;Mosquitoes;1;Peak summer;Algae blooms;1;Festival month;Few risks;1;Fall begins;Cool nights;2;Winter prep;Storms;3;First snow;Power cuts;4;Christmas;4h daylight;4;New Year;Blizzards;;;
France;Europe;Paris;3;Winter sales;Grey skies;2;Carnival month;Sleet;1;Spring starts;Unpredictable;1;Easter crowds;Overcrowding;1;Perfect weather;Pollen;2;Summer begins;Heatwaves;2;Peak season;Wildfires south;2;Festival month;Transport strikes;1;Fall colors;Cool nights;1;Christmas prep;Fog;2;Winter markets;Floods;3;New Year;Ice storms;;;
Gabon;Africa;Libreville;2;Short dry spell;Humid (85%);1;Best wildlife;Few risks;3;Rainy season;Malaria;4;Peak rains;Cholera;4;Continued wet;Flooding;4;Muddy roads;Diseases;3;Dry begins;Dusty;2;Harvest season;Few risks;1;Perfect weather;Cool nights;1;Dry continues;Political tension;2;Rainy prep;Roadblocks;;;
Gambia;Africa;Banjul;1;Peak season;Dusty harmattan;1;Best beaches;Few risks;3;Heat builds;40C temps;4;Scorching;Dehydration;4;First rains;Malaria;4;Wettest month;Flooding;4;Continued rains;Cholera;3;Dry begins;Mud;2;Shoulder month;Few risks;1;Christmas;Overcrowding;1;New Year;Price surges;;;
